-0 all_void
-0.1.1.0.0.2.0.0.13.16 motion
-0.1.1.0.0.2.0.0.13.16.25 rotation
0.1.1.0.0.2.0.0.13.16.25.1 feather
-0.1.1.0.0.2.0.0.13.16.38 stroke
0.1.1.0.0.2.0.0.13.16.38.1 bow
-0.1.1.0.0.2.0.0.13.16.38.2 blow
0.1.1.0.0.2.0.0.13.16.38.2.2 stab
0.1.1.0.0.2.0.0.13.16.38.2.20 box
-0.1.1.0.0.2.0.0.13.18 change_of_magnitude
-0.1.1.0.0.2.0.0.13.18.0 decrease
-0.1.1.0.0.2.0.0.13.18.0.10 depletion
0.1.1.0.0.2.0.0.13.18.0.10.2 drain
-0.1.1.0.0.2.0.0.13.19 change_of_integrity
0.1.1.0.0.2.0.0.13.19.2 burning
-0.1.1.0.0.2.0.0.13.22 change_of_shape
-0.1.1.0.0.2.0.0.13.22.3 bending
0.1.1.0.0.2.0.0.13.22.3.1 crouch
-0.1.1.0.0.2.0.8 activity
-0.1.1.0.0.2.0.8.4 diversion
-0.1.1.0.0.2.0.8.4.2 celebration
-0.1.1.0.0.2.0.8.4.2.0 merrymaking
-0.1.1.0.0.2.0.8.4.2.0.1 revel
0.1.1.0.0.2.0.8.4.2.0.1.0 bust
-0.1.1.0.0.2.0.8.4.3 dancing
0.1.1.0.0.2.0.8.4.3.4 phrase
-0.1.1.0.0.2.0.8.4.4 entertainment
-0.1.1.0.0.2.0.8.4.4.5 show
0.1.1.0.0.2.0.8.4.4.5.3 display
-0.1.1.0.0.2.0.8.4.4.5.4 presentation
-0.1.1.0.0.2.0.8.4.4.5.4.2 performance
-0.1.1.0.0.2.0.8.4.4.5.4.2.0 program
0.1.1.0.0.2.0.8.4.4.5.4.2.0.0 bill
-0.1.1.0.0.2.0.8.4.13 play
0.1.1.0.0.2.0.8.4.13.0 house
-0.1.1.0.0.2.0.8.4.15 sport
-0.1.1.0.0.2.0.8.4.15.18 athletic_game
-0.1.1.0.0.2.0.8.4.15.18.4 court_game
0.1.1.0.0.2.0.8.4.15.18.4.10 tennis
-0.1.1.0.0.2.0.8.7 game
